Variable,Category,Tag,Weight,Exclude,Require,Extra
tU,atmosphere,jacket,12,"[""zipper""]",[],[]
tU,atmosphere,blazer,12,[],[],[]
tU,atmosphere,cropped jacket,12,[],[],[]
tU,atmosphere,letterman jacket,12,[],[],[]
tU,atmosphere,safari jacket,12,[],[],[]
tU,atmosphere,suit jacket,12,[],[],[]
tU,atmosphere,leather jacket,12,[],[],[]
tU,atmosphere,poncho,12,[],[],[]
tU,atmosphere,raglan sleeves,12,[],[],[]
tU,atmosphere,shirt,12,"[""shirt""]",[],[]
tU,atmosphere,collared shirt,12,"[""buttons"",""shirt""]",[],[]
tU,atmosphere,dress shirt,12,"[""shirt""]",[],[]
tU,atmosphere,off-shoulder shirt,12,"[""shirt""]",[],[]
tU,atmosphere,sleeveless shirt,12,"[""shirt""]",[],[]
tU,atmosphere,striped shirt,12,"[""shirt""]",[],[]
tU,atmosphere,t-shirt,12,"[""shirt""]",[],[]
tU,atmosphere,shrug (clothing),12,[],"[""female""]",[]
tU,atmosphere,surcoat,12,[],[],[]
tU,atmosphere,sweater,12,[],[],[]
tU,atmosphere,turtleneck,12,[],[],[]
tU,atmosphere,sleeveless turtleneck,12,[],[],[]
tU,atmosphere,ribbed sweater,12,[],[],[]
tU,atmosphere,aran sweater,12,[],[],[]
tU,atmosphere,argyle sweater,12,[],[],[]
tU,atmosphere,virgin killer sweater,12,[],"[""female""]",[]
tU,atmosphere,open-chest sweater,12,[],"[""female""]",[]
tU,atmosphere,tabard,12,[],[],[]
tU,atmosphere,tailcoat,12,[],[],[]
tU,atmosphere,tank top,12,[],[],[]
tU,atmosphere,tube top,12,[],"[""female""]",[]
tU,atmosphere,bandeau,12,[],"[""female"",""breasts""]",[]
tU,atmosphere,underbust,12,[],"[""female"",""breasts""]",[]
tU,atmosphere,vest,12,[],[],[]
tU,atmosphere,sweater vest,12,[],[],[]
tU,atmosphere,waistcoat,12,[],[],[]
tU,atmosphere,chest sarashi,12,[],[],[]
tU,atmosphere,budget sarashi,12,[],"[""female"",""breasts""]",[]
tU,atmosphere,tunic,12,"[""buttons""]",[],[]
tU,atmosphere,front-tie top,12,[],"[""female""]",[]
tU,atmosphere,breast curtains,12,[],"[""female"",""breasts""]",[]
tU,atmosphere,pasties,1,[],"[""female""]",[]
tU,atmosphere,heart pasties,1,[],"[""female""]",[]
tU,atmosphere,cross pasties,1,[],"[""female""]",[]
tU,atmosphere,star pasties,1,[],"[""female""]",[]
tU,atmosphere,track jacket,12,[],[],[]
tU,atmosphere,strapless shirt,12,[],"[""female""]",[]
tU,atmosphere,bomber jacket,12,[],[],[]
tU,atmosphere,hawaiian shirt,12,[],[],[]
tU,atmosphere,tangzhuang,12,[],[],[]
tU,atmosphere,sleeveless hoodie,12,[],[],[]
tU,atmosphere,camouflage jacket,12,[],[],[]
tU,atmosphere,denim jacket,12,[],[],[]
tU,atmosphere,see-through jacket,12,[],[],[]
tU,atmosphere,duster coat,12,[],[],[]
tZ,camera,bloomers,12,[],"[""female""]",[]
tZ,camera,buruma,12,[],"[""female""]",[]
tZ,camera,chaps,12,[],[],[]
tZ,camera,pants,12,[],[],[]
tZ,camera,tight pants,12,[],[],[]
tZ,camera,baggy pants,12,[],[],[]
tZ,camera,bell-bottoms,12,[],[],[]
tZ,camera,capri pants,12,[],[],[]
tZ,camera,detached pants,12,[],[],[]
tZ,camera,jeans,12,[],[],[]
tZ,camera,lowleg pants,12,[],[],[]
tZ,camera,pants rolled up,12,[],[],[]
tZ,camera,yoga pants,12,[],[],[]
tZ,camera,pelvic curtain,12,[],[],[]
tZ,camera,petticoat,12,[],"[""female""]",[]
tZ,camera,shorts,12,[],[],[]
tZ,camera,bike shorts,12,[],[],[]
tZ,camera,denim shorts,12,[],[],[]
tZ,camera,dolphin shorts,12,[],"[""female""]",[]
tZ,camera,gym shorts,12,[],[],[]
tZ,camera,lowleg shorts,12,[],[],[]
tZ,camera,micro shorts,12,[],"[""female""]",[]
tZ,camera,short shorts,12,[],[],[]
tZ,camera,suspender shorts,12,[],[],[]
tZ,camera,shorts under skirt,12,"[""skirt""]","[""female""]",[]
tZ,camera,skirt,12,"[""skirt""]","[""female""]",[]
tZ,camera,bubble skirt,12,"[""skirt""]","[""female""]",[]
tZ,camera,high-waist skirt,12,"[""skirt""]","[""female""]",[]
tZ,camera,long skirt,12,"[""skirt""]","[""female""]",[]
tZ,camera,lowleg skirt,12,"[""skirt""]","[""female""]",[]
tZ,camera,microskirt,12,"[""skirt""]","[""female""]",[]
tZ,camera,miniskirt,12,"[""skirt""]","[""female""]",[]
tZ,camera,overall skirt,12,"[""skirt""]","[""female""]",[]
tZ,camera,plaid skirt,12,"[""skirt""]","[""female""]",[]
tZ,camera,pleated skirt,12,"[""skirt""]","[""female""]",[]
tZ,camera,suspender skirt,12,"[""skirt""]","[""female""]",[]
tZ,camera,showgirl skirt,12,"[""skirt""]","[""female""]",[]
tZ,camera,sweatpants,12,[],[],[]
tZ,camera,track pants,12,[],[],[]
tZ,camera,loincloth,12,[],[],[]
tZ,camera,high-waist shorts,12,[],[],[]
tZ,camera,high-waist pants,12,[],[],[]
tZ,camera,camouflage pants,12,[],[],[]
tZ,camera,boxer briefs,12,[],[],[]
tZ,camera,dress pants,12,[],[],[]
tH,quality,boots,12,[],"[""feet""]",[]
tH,quality,ankle boots,12,[],"[""feet""]",[]
tH,quality,armored boots,12,[],"[""feet""]",[]
tH,quality,cowboy boots,12,[],"[""feet""]",[]
tH,quality,knee boots,12,[],"[""feet""]",[]
tH,quality,high heel boots,12,[],"[""feet"",""female""]",[]
tH,quality,lace-up boots,12,[],"[""feet""]",[]
tH,quality,rubber boots,12,[],"[""feet""]",[]
tH,quality,thigh boots,12,[],"[""feet""]",[]
tH,quality,cross-laced footwear,12,[],"[""feet""]",[]
tH,quality,dress shoes,12,[],"[""feet""]",[]
tH,quality,flats,12,[],"[""feet""]",[]
tH,quality,high heels,12,[],"[""feet"",""female""]",[]
tH,quality,stiletto heels,12,[],"[""feet"",""female""]",[]
tH,quality,loafers,12,[],"[""feet""]",[]
tH,quality,mary janes,12,[],"[""feet""]",[]
tH,quality,platform footwear,12,[],"[""feet""]",[]
tH,quality,pointy footwear,4,[],"[""feet""]",[]
tH,quality,pumps,12,[],"[""feet"",""female""]",[]
tH,quality,sandals,12,[],"[""feet""]",[]
tH,quality,flip-flops,12,[],"[""feet""]",[]
tH,quality,geta,12,[],"[""feet""]",[]
tH,quality,gladiator sandals,12,[],"[""feet""]",[]
tH,quality,okobo,12,[],"[""feet""]",[]
tH,quality,zouri,12,[],"[""feet""]",[]
tH,quality,slippers,12,[],"[""feet""]",[]
tH,quality,animal slippers,12,[],"[""feet""]",[]
tH,quality,ballet slippers,12,[],"[""feet"",""female""]",[]
tH,quality,crocs,12,[],"[""feet""]",[]
tH,quality,uwabaki,12,[],"[""feet""]",[]
tH,quality,sneakers,12,[],"[""feet""]",[]
tH,quality,high tops,12,[],"[""feet""]",[]
tH,quality,converse,12,[],"[""feet""]",[]
tH,quality,toeless footwear,12,[],"[""feet""]",[]
tH,quality,wedge heels,12,[],"[""feet"",""female""]",[]
tH,quality,tabi,12,[],"[""feet""]",[]
tJ,style,bikesuit,12,"[""zipper""]",[],[]
tJ,style,racing suit,12,"[""zipper""]",[],[]
tJ,style,bodysuit,12,"[""zipper""]",[],[]
tJ,style,jumpsuit,12,"[""zipper""]",[],[]
tJ,style,short jumpsuit,12,"[""zipper""]",[],[]
tJ,style,leotard,12,[],"[""female""]",[]
tJ,style,strapless leotard,12,"[""female""]",[],[]
tJ,style,thong leotard,12,[],"[""female""]",[]
tJ,style,robe,12,[],[],[]
tJ,style,unitard,12,[],[],[]
tJ,style,sleeveless turtleneck leotard,12,[],"[""female""]",[]
tJ,style,turtleneck leotard,12,[],"[""female""]",[]
tJ,style,frilled leotard,12,[],"[""female""]",[]
tJ,style,ribbed bodysuit,12,[],[],[]
tJ,style,ribbed leotard,12,[],"[""female""]",[]
tX,effects,swimsuit,12,[],[],[]
tX,effects,one-piece swimsuit,12,[],"[""female""]",[]
tX,effects,casual one-piece swimsuit,12,[],"[""female""]",[]
tX,effects,competition swimsuit,12,[],"[""female""]",[]
tX,effects,slingshot swimsuit,12,[],"[""female""]",[]
tX,effects,square bikini,12,"[""strapped""]","[""female""]",[]
tX,effects,school swimsuit,12,[],"[""female""]",[]
tX,effects,bikini,12,[],"[""female""]",[]
tX,effects,string bikini,12,"[""strapped""]","[""female""]",[]
tX,effects,micro bikini,12,"[""strapped""]","[""female""]",[]
tX,effects,lowleg bikini,12,"[""strapped""]","[""female""]",[]
tX,effects,thong bikini,12,"[""strapped""]","[""female""]",[]
tX,effects,sports bikini,12,"[""strapped""]","[""female""]",[]
tX,effects,swim briefs,12,[],"[""male""]",[]
tX,effects,rash guard,12,[],[],[]
tX,effects,wetsuit,12,[],[],[]
tX,effects,front-tie bikini top,12,"[""strapped""]","[""female""]",[]
tX,effects,o-ring bikini,12,"[""strapped""]","[""female""]",[]
tX,effects,strapless bikini,12,[],"[""female""]",[]
tX,effects,maid bikini,12,"[""strapped""]","[""female""]",[]
tX,effects,swim trunks,12,[],"[""male""]",[]
tX,effects,"swim trunks, bikini top only",12,"[""strapped""]","[""female""]",[]
tX,effects,gris swimsuit,12,[],"[""female""]",[]
tX,effects,front zipper swimsuit,12,"[""zipper""]","[""female""]",[]
tX,effects,dress swimsuit,12,[],"[""female""]",[]
tQ,composition,apron,12,[],[],[]
tQ,composition,cape,12,[],[],[]
tQ,composition,hooded cape,12,[],[],[]
tQ,composition,capelet,12,[],[],[]
tQ,composition,hooded capelet,12,[],[],[]
tQ,composition,hood,12,[],[],[]
tQ,composition,bodystocking,12,[],"[""female""]",[]
tQ,composition,ascot,12,[],[],[]
tQ,composition,bowtie,12,[],[],[]
tQ,composition,choker,12,[],[],[]
tQ,composition,collar,12,[],[],[]
tQ,composition,epaulettes,12,[],[],[]
tQ,composition,lapels,12,[],[],[]
tQ,composition,neck ruff,12,[],[],[]
tQ,composition,neckerchief,12,[],[],[]
tQ,composition,necklace,12,[],[],[]
tQ,composition,necktie,12,[],[],[]
tQ,composition,neck ribbon,12,[],[],[]
tQ,composition,scarf,12,[],[],[]
tQ,composition,shawl,12,[],[],[]
tQ,composition,anklet,12,[],[],[]
tQ,composition,arm belt,12,[],[],[]
tQ,composition,armband,12,[],[],[]
tQ,composition,armlet,12,[],[],[]
tQ,composition,bracelet,12,[],[],[]
tQ,composition,bangle,12,[],[],[]
tQ,composition,spiked bracelet,12,[],[],[]
tQ,composition,bridal gauntlets,12,[],"[""female""]",[]
tQ,composition,detached sleeves,12,[],[],[]
tQ,composition,arm warmers,12,[],[],[]
tQ,composition,gloves,12,[],[],[]
tQ,composition,fingerless gloves,12,[],[],[]
tQ,composition,elbow gloves,12,[],[],[]
tQ,composition,half gloves,12,[],[],[]
tQ,composition,single glove,12,[],[],[]
tQ,composition,single elbow glove,12,[],[],[]
tQ,composition,mittens,12,[],[],[]
tQ,composition,leg belt,12,[],[],[]
tQ,composition,ring,12,[],[],[]
tQ,composition,thighlet,12,[],[],"[""nolegs""]"
tQ,composition,wide sleeves,12,[],[],[]
tQ,composition,wristband,12,[],[],[]
tQ,composition,wrist cuffs,12,[],[],[]
tQ,composition,wrist scrunchie,12,[],[],[]
tQ,composition,badge,12,[],[],[]
tQ,composition,belt,12,[],[],[]
tQ,composition,brooch,12,[],[],[]
tQ,composition,buttons,12,[],[],[]
tQ,composition,collar chain,12,[],[],[]
tQ,composition,corsage,12,[],[],[]
tQ,composition,cuff links,12,[],[],[]
tQ,composition,pentacle,12,[],[],[]
tQ,composition,sarong,12,[],"[""female""]",[]
tQ,composition,sash,12,[],[],[]
tQ,composition,suspenders,12,[],[],[]
tQ,composition,tassel,12,[],[],[]
tQ,composition,clothing cutout,12,[],[],[]
tQ,composition,flower trim,12,[],[],[]
tQ,composition,frills,12,[],[],[]
tQ,composition,gold trim,12,[],[],[]
tQ,composition,lace trim,12,[],[],[]
tQ,composition,ribbon trim,12,[],[],[]
tQ,composition,see-through,12,[],[],[]
tQ,composition,silver trim,12,[],[],[]
tQ,composition,torn clothes,12,[],[],[]
tQ,composition,earrings,12,[],[],[]
tQ,composition,hoop earrings,12,[],[],[]
tQ,composition,stud earrings,12,[],[],[]
tQ,composition,sphere earrings,12,[],[],[]
tQ,composition,single earring,12,[],[],[]
tQ,composition,earclip,12,[],[],[]
tQ,composition,glasses,12,[],[],[]
tQ,composition,monocle,12,[],[],[]
tQ,composition,hair ornament,12,[],"[""female""]",[]
tQ,composition,hair beads,12,[],"[""female""]",[]
tQ,composition,hair bobbles,12,[],"[""female""]",[]
tQ,composition,hairclip,12,[],"[""female""]",[]
tQ,composition,hairpin,12,[],"[""female""]",[]
tQ,composition,hair scrunchie,12,[],"[""female""]",[]
tQ,composition,hair stick,12,[],"[""female""]",[]
tQ,composition,hair flower,12,[],"[""female""]",[]
tQ,composition,hair bell,12,[],"[""female""]",[]
tQ,composition,mask,12,[],[],[]
tQ,composition,surgical mask,12,[],[],[]
tQ,composition,sleeves pushed up,12,[],[],[]
tQ,composition,sleeves rolled up,12,[],[],[]
tQ,composition,short sleeves,12,[],[],[]
tQ,composition,long sleeves,12,[],[],[]
tQ,composition,very long sleeves,12,[],[],[]
tQ,composition,short over long sleeves,12,[],[],[]
tQ,composition,sleeves past wrists,12,[],"[""body""]",[]
tQ,composition,sleeves past fingers,12,[],"[""body""]",[]
tQ,composition,sleeves past elbows,12,[],"[""body""]",[]
tQ,composition,puffy sleeves,12,[],[],[]
tQ,composition,sleeveless,12,[],[],[]
tQ,composition,goggles,12,[],[],[]
tQ,composition,sunglasses,12,[],[],[]
tQ,composition,coke-bottle glasses,12,[],[],"[""eyes""]"
tQ,composition,safety glasses,12,[],[],[]
tQ,composition,ski goggles,12,[],[],[]
tQ,composition,bespectacled,12,[],[],[]
tQ,composition,ear piercing,12,[],[],[]
tQ,composition,eyebrow piercing,12,[],[],[]
tQ,composition,lip piercing,12,[],[],[]
tQ,composition,nose piercing,12,[],[],[]
tQ,composition,tongue piercing,12,[],[],[]
tQ,composition,navel piercing,12,[],[],[]
tQ,composition,zipper,12,[],[],[]
tQ,composition,zettai ryouiki,12,[],"[""body""]",[]
tQ,composition,wristwatch,12,[],[],[]
tQ,composition,x hair ornament,12,[],"[""female""]",[]
tQ,composition,wing collar,12,[],[],[]
tQ,composition,whisker markings,12,[],[],[]
tQ,composition,wet,12,[],[],[]
tQ,composition,wand,12,[],[],[]
tQ,composition,waist apron,12,[],[],[]
tQ,composition,veins,12,[],[],[]
tQ,composition,vambraces,12,[],[],[]
tQ,composition,valentine,12,[],[],[]
tQ,composition,underboob,12,[],"[""breasts""]",[]
tQ,composition,umbrella,12,[],[],[]
tQ,composition,parasol,12,[],[],[]
tQ,composition,under-rim eyewear,12,[],[],[]
tQ,composition,unbuttoned,12,[],"[""buttons""]",[]
tQ,composition,tray,12,[],[],[]
tQ,composition,toenail polish,12,[],"[""female"",""feet"",""barefoot""]",[]
tQ,composition,tentacles,12,[],[],[]
tQ,composition,tattoo,12,[],[],[]
tQ,composition,tanlines,12,[],[],[]
tQ,composition,swimsuit under clothes,12,[],"[""female""]",[]
tQ,composition,sweat,12,[],[],[]
tQ,composition,striped,12,[],[],[]
tQ,composition,strap slip,12,[],"[""strapped""]",[]
tQ,composition,strap gap,12,[],"[""strapped"",""breasts""]",[]
tQ,composition,star print,12,[],[],[]
tQ,composition,spikes,12,[],[],[]
tQ,composition,sideboob,12,[],"[""breasts""]",[]
tQ,composition,side slit,12,[],[],[]
tQ,composition,shoulder armor,12,[],[],[]
tQ,composition,shoulder bag,12,[],[],[]
tQ,composition,shoulder cutout,12,[],[],[]
tQ,composition,shoulder tattoo,12,[],[],[]
tQ,composition,shirt tucked in,12,[],"[""shirt""]",[]
tQ,composition,shiny clothes,12,[],[],[]
tQ,composition,sharp teeth,12,[],[],[]
tQ,composition,sharp fingernails,12,[],[],[]
tQ,composition,saliva,12,[],[],[]
tQ,composition,pouch,12,[],[],[]
tQ,composition,polka dot,12,[],[],[]
tQ,composition,pom pom (clothes),12,[],[],[]
tQ,composition,pocket,12,[],[],[]
tQ,composition,revealing clothes,12,[],[],[]
tQ,composition,ribbon,12,[],[],[]
tQ,composition,ribbon choker,12,[],[],[]
tQ,composition,randoseru,12,[],[],[]
tQ,composition,semi-rimless eyewear,12,[],[],[]
tQ,composition,scrunchie,12,[],[],[]
tQ,composition,school bag,12,[],[],[]
tQ,composition,plaid,12,[],[],[]
tQ,composition,pendant,12,[],[],[]
tQ,composition,pauldrons,12,[],[],[]
tQ,composition,partially unbuttoned,12,[],"[""buttons""]",[]
tQ,composition,paw gloves,12,[],[],[]
tQ,composition,open clothes,12,[],[],[]
tQ,composition,off shoulder,12,[],[],[]
tQ,composition,o-ring top,12,[],[],[]
tQ,composition,neck bell,12,[],[],[]
tQ,composition,navel cutout,12,[],[],[]
tQ,composition,mustache,12,[],"[""male""]",[]
tQ,composition,wings,12,[],[],[]
tQ,composition,low wings,12,[],[],[]
tQ,composition,lipstick,21,[],[],[]
tQ,composition,leg ribbon,12,[],"[""legs""]",[]
tQ,composition,leash,12,[],[],[]
tQ,composition,lace,12,[],[],[]
tQ,composition,knee pads,12,[],"[""legs""]",[]
tQ,composition,kemonomimi mode,12,[],[],[]
tQ,composition,juliet sleeves,12,[],[],[]
tQ,composition,joints,12,[],[],[]
tQ,composition,jewelry,12,[],[],[]
tQ,composition,jacket on shoulders,12,[],[],[]
tQ,composition,impossible clothes,12,[],[],[]
tQ,composition,ice wings,12,[],[],[]
tQ,composition,horns,12,[],[],[]
tQ,composition,curled horns,12,[],[],[]
tQ,composition,small horns,12,[],[],[]
tQ,composition,cone horns,12,[],[],[]
tQ,composition,uneven horns,12,[],[],[]
tQ,composition,highleg,12,[],[],[]
tQ,composition,high collar,12,[],[],[]
tQ,composition,helmet,12,"[""headcovering""]",[],"[""headcovering""]"
tQ,composition,mouth mask,12,[],[],[]
tQ,composition,midriff peek,12,[],[],[]
tQ,composition,midriff,12,[],[],[]
tQ,composition,mechanical arms,12,[],[],[]
tQ,composition,mask on head,12,"[""headcovering""]",[],"[""headcovering""]"
tQ,composition,makeup,12,[],"[""female""]",[]
tQ,composition,long fingernails,12,[],[],[]
tQ,composition,halo,12,[],[],[]
tQ,composition,hair tubes,12,[],"[""female""]",[]
tQ,composition,gauntlets,12,[],[],[]
tQ,composition,garter straps,12,[],"[""legs""]",[]
tQ,composition,fur trim,12,[],[],[]
tQ,composition,floating hair,12,[],[],[]
tQ,composition,fangs,12,[],[],[]
tQ,composition,fang out,12,[],[],[]
tQ,composition,facial mark,12,[],[],[]
tQ,composition,facial hair,12,[],"[""male""]",[]
tQ,composition,eyeshadow,12,[],[],[]
tQ,composition,eyes visible through hair,12,[],[],[]
tQ,composition,eyepatch,12,[],[],[]
tQ,composition,eyeliner,12,[],[],[]
tQ,composition,eyelashes,12,[],[],[]
tQ,composition,eyebrows,12,[],[],[]
tQ,composition,eyewear on head,12,[],[],[]
tQ,composition,earmuffs,12,[],[],[]
tQ,composition,covered navel,12,[],[],[]
tQ,composition,corset,12,[],"[""female"",""breasts""]",[]
tQ,composition,contemporary,12,[],[],[]
tQ,composition,colored eyelashes,12,[],[],[]
tQ,composition,cleavage cutout,12,[],"[""breasts""]",[]
tQ,composition,cleavage,12,[],"[""breasts""]",[]
tQ,composition,claws,12,[],[],[]
tQ,composition,center opening,12,[],[],[]
tQ,composition,center frills,12,[],[],[]
tQ,composition,breasts apart,12,[],"[""breasts""]",[]
tQ,composition,breastplate,12,[],[],[]
tQ,composition,breast pocket,12,[],[],[]
tQ,composition,bracer,12,[],[],[]
tQ,composition,blood on clothes,6,[],[],[]
tQ,composition,blood on face,6,[],[],[]
tQ,composition,blindfold,12,[],[],[]
tQ,composition,bare shoulders,12,[],[],[]
tQ,composition,bare arms,12,[],[],[]
tQ,composition,bare legs,12,[],"[""legs""]",[]
tQ,composition,bandaid on face,12,[],[],[]
tQ,composition,bandaid,12,[],[],[]
tQ,composition,bandages,12,[],[],[]
tQ,composition,bandaged leg,12,[],"[""legs""]",[]
tQ,composition,bandaged arm,12,[],[],[]
tQ,composition,backpack,12,[],[],[]
tQ,composition,backless outfit,12,[],[],[]
tQ,composition,back bow,12,[],[],[]
tQ,composition,ass visible through thighs,12,[],"[""legs""]",[]
tQ,composition,armpits,12,[],[],[]
tQ,composition,armpit crease,12,[],[],[]
tQ,composition,armpit peed,12,[],[],[]
tQ,composition,arm tattoo,12,[],[],[]
tQ,composition,animal print,12,[],[],[]
tQ,composition,clothes around waist,12,[],[],[]
tQ,composition,headphones around neck,12,[],[],[]
tQ,composition,oversized clothes,12,[],[],[]
tQ,composition,manly,12,[],[],[]
tQ,composition,greaves,12,[],[],[]
tQ,composition,one-eyed,12,[],[],[]
tQ,composition,fur-trimmed sleeves,12,[],[],[]
tQ,composition,polka dot bow,12,[],[],[]
tQ,composition,harness,3,[],[],[]
tQ,composition,forehead jewel,12,[],[],[]
tQ,composition,forehead mark,12,[],[],[]
tQ,composition,single bare shoulder,12,[],[],[]
tQ,composition,spiked collar,12,[],[],[]
tQ,composition,striped necktie,12,[],[],[]
tQ,composition,arm guards,12,[],[],[]
tQ,composition,undershirt,12,[],[],[]
tQ,composition,latex,12,[],[],[]
tQ,composition,bandaid on leg,12,[],[],[]
tQ,composition,bead necklace,12,[],[],[]
tQ,composition,dirty,12,[],[],[]
tQ,composition,giantess,12,[],"[""female""]",[]
tQ,composition,cyborg,12,[],[],[]
tQ,composition,bruise,12,[],[],[]
tQ,composition,extra arms,12,[],[],[]
tQ,composition,taut shirt,12,[],[],[]
tQ,composition,chest jewel,12,[],[],[]
tQ,composition,v-neck,12,[],[],[]
tQ,composition,plaid scarf,12,[],[],[]
tQ,composition,prosthesis,12,[],[],[]
tQ,composition,single mechanical arm,12,[],[],[]
tQ,composition,blood on hands,12,[],[],[]
tQ,composition,bandaid on nose,12,[],[],[]
tQ,composition,robot joints,12,[],[],[]
tQ,composition,zombie,12,[],[],[]
tQ,composition,tail ribbon,12,[],[],[]
tQ,composition,tomboy,12,[],"[""female""]",[]
tQ,composition,panty peek,12,[],[],[]
tQ,composition,leg tattoo,12,[],[],[]
tQ,composition,lanyard,12,[],[],[]
tQ,composition,bra visible through clothes,12,[],[],[]
tQ,composition,amputee,12,[],[],[]
tQ,composition,bra strap,12,"[""shirt""]","[""female"",""breasts""]",[]
tQ,composition,money,12,[],[],[]
tQ,composition,revolver,12,[],[],[]
tQ,composition,pearl necklace,12,[],[],[]
tQ,composition,coat on shoulders,12,[],[],[]
tQ,composition,chest harness,4,[],[],[]
tQ,composition,slime (substance),12,[],[],[]
tQ,composition,partially unzipped,12,[],"[""zipper""]",[]
tQ,composition,bodypaint,12,[],[],[]
tQ,composition,metal collar,12,[],[],[]
tQ,composition,loose necktie,12,[],[],[]
tQ,composition,clover,12,[],[],[]
tQ,composition,body markings,12,[],[],[]
tQ,composition,mechanical wings,12,[],[],[]
tQ,composition,leaf print,12,[],[],[]
tQ,composition,pentagram,12,[],[],[]
tQ,composition,neon trim,12,[],[],[]
tQ,composition,prosthetic arm,12,[],[],[]
tQ,composition,bandage over one eye,12,[],[],[]
tQ,composition,mascara,12,[],[],[]
tQ,composition,cat ear headphones,12,[],[],[]
tQ,composition,cuts,12,[],[],[]
tQ,composition,jacket around waist,12,[],"[""legs""]",[]
tQ,composition,bleeding,12,[],[],[]
tQ,composition,rectangular eyewear,12,[],[],[]
tQ,composition,chain necklace,12,[],[],[]
tQ,composition,paw shoes,12,[],[],[]
tQ,composition,feather trim,12,[],[],[]
tQ,composition,gold chain,12,[],[],[]
tQ,composition,mechanical parts,12,[],[],[]
tQ,composition,mechanical legs,12,[],[],"[""nolegs""]"
tQ,composition,eye mask,12,[],[],[]
tQ,composition,scratches,12,[],[],[]
tQ,composition,cross scar,12,[],[],[]
tQ,composition,tusks,12,[],[],[]
tQ,composition,dragon print,12,[],[],[]
tQ,composition,sun symbol,12,[],[],[]
tQ,composition,uneven sleeves,12,[],[],[]
tQ,composition,energy wings,12,[],[],[]
tQ,composition,cat print,12,[],[],[]
tQ,composition,sweatband,12,[],[],[]
tQ,composition,sweater around waist,12,[],"[""legs""]",[]
tQ,composition,glowing sword,12,[],[],[]
tQ,composition,fanny pack,12,[],"[""legs""]",[]
tQ,composition,blood stain,12,[],[],[]
tQ,composition,single pauldron,12,[],[],[]
tQ,composition,energy ball,12,[],[],[]
tQ,composition,scepter,12,[],[],[]
tQ,composition,cherry blossom print,12,[],[],[]
tQ,composition,insect wings,12,[],[],[]
tQ,composition,constellation print,12,[],[],[]
tQ,composition,utility belt,12,[],[],[]
tQ,composition,prosthetic leg,12,[],[],"[""nolegs""]"
tQ,composition,very sweaty,12,[],[],[]
tQ,composition,scales,12,[],[],[]
tQ,composition,fake animal ears,12,[],[],[]
tQ,composition,elbow pads,12,[],[],[]
tQ,composition,plunging neckline,12,[],[],[]
tQ,composition,waist cape,12,[],[],[]
tQ,composition,waist bow,12,[],"[""female""]",[]
tQ,composition,vertical stripes,12,[],[],[]
tQ,composition,v-neck,12,[],[],[]
tQ,composition,undersized clothes,12,[],[],[]
tQ,composition,towel around neck,12,[],[],[]
tQ,composition,taut clothes,12,[],[],[]
tQ,composition,tassel hair ornament,12,[],"[""female""]",[]
tQ,composition,talisman,12,[],[],[]
tQ,composition,"tail, tail wagging",12,[],[],[]
tQ,composition,"tail, tail raised",12,[],[],[]
tQ,composition,"tail, tail bow",12,[],[],[]
tQ,composition,striped clothes,12,[],[],[]
tQ,composition,stitches,12,[],[],[]
tQ,composition,steaming body,12,[],[],[]
tQ,composition,skin fang,12,[],[],[]
tQ,composition,skin fangs,12,[],[],[]
tQ,composition,skin tight,12,[],[],[]
tQ,composition,skin-covered horns,12,[],[],[]
tQ,composition,skindentation,12,[],"[""female""]",[]
tQ,composition,single sleeve,12,[],[],[]
tQ,composition,single horn,12,[],[],[]
tQ,composition,sideless outfit,12,[],"[""female""]",[]
tQ,composition,side cutout,12,[],[],[]
tQ,composition,short necktie,12,[],[],[]
tQ,composition,short eyebrows,12,[],[],[]
tQ,composition,round teeth,12,[],[],[]
tQ,composition,reindeer antlers,12,[],[],[]
tQ,composition,rabbit hair ornament,12,[],[],[]
tQ,composition,popped collar,12,[],[],[]
tQ,composition,pinstripe pattern,12,[],[],[]
tQ,composition,pince-nez,12,[],[],[]
tQ,composition,pendant choker,12,[],[],[]
tQ,composition,neck ring,12,[],[],[]
tQ,composition,multiple wings,12,[],[],[]
tQ,composition,multiple horns,12,[],[],[]
tQ,composition,mind control,12,[],[],[]
tQ,composition,shoulder spikes,12,[],[],[]
tQ,composition,shoulder pads,12,[],[],[]
tQ,composition,shoulder blades,12,[],[],"[""front""]"
tQ,composition,median furrow,12,[],[],"[""front""]"
tQ,composition,medical eyepatch,12,[],[],[]
tQ,composition,mechabare,12,[],[],[]
tQ,composition,material growth,12,[],[],[]
tQ,composition,mandarin collar,12,[],[],[]
tQ,composition,magatama,12,[],[],[]
tQ,composition,layered clothes,12,[],[],[]
tQ,composition,layered sleeves,12,[],[],[]
tQ,composition,large tail,12,[],[],[]
tQ,composition,notched ear,12,[],[],[]
tQ,composition,notched lapels,12,[],[],[]
tQ,composition,jingle bell,12,[],[],[]
tQ,composition,injury,12,[],[],[]
tQ,composition,high collar,12,[],[],[]
tQ,composition,hagoromo,12,[],[],[]
tQ,composition,gothic lolita,12,[],"[""female""]",[]
tQ,composition,gas mask,12,[],[],[]
tQ,composition,framed breasts,12,[],"[""breasts""]",[]
tQ,composition,flame-tipped tail,12,[],[],[]
tQ,composition,fake horns,12,[],[],[]
